Réf,Nom,Quantité,Emplacement
P001,Casque Bose QuietComfort 35 II,84,R2E2N2
P002,Imprimante HP LaserJet Pro M404dn,95,R6E4N3
P003,Projecteur Optoma HD146X,90,R2E1N1
P004,Casque Logitech H390,90,R2E3N3
P005,Écran Dell UltraSharp U2720Q,99,R2E3N3
P006,Onduleur CyberPower CP1500PFCLCD,38,R4E1N3
P007,Mémoire Kingston 16GB DDR4,28,R1E4N3
P008,Switch TP-Link JetStream T1700G-28T,72,R5E4N1
P009,Serveur Supermicro SuperServer,94,R1E1N1
P010,Imprimante Canon i-SENSYS LBP6030w,32,R6E3N2
P011,Station de travail HP Z4 G4,35,R6E4N2
P012,Casque Bose QuietComfort 35 II,24,R5E4N1
P013,Clavier mécanique Logitech G Pro,82,R3E2N3
P014,Switch Cisco Catalyst 2960,64,R1E3N3
P015,Souris Razer DeathAdder V2,14,R2E3N2
P016,Serveur IBM Power System S914,48,R5E1N2
P017,NAS Buffalo TeraStation 3410,33,R2E4N1
P018,Casque HyperX Cloud II,27,R2E3N3
P019,NAS QNAP TS-453D,69,R2E2N1
P020,Switch Netgear ProSafe GC728X,96,R6E2N1
P021,Casque Logitech H390,48,R3E2N1
P022,Onduleur Eaton 5P 1550VA,80,R6E1N1
P023,Clavier Dell KB216,18,R6E1N2
P024,Onduleur APC Smart-UPS 1500VA,82,R3E3N3
P025,NAS Buffalo TeraStation 3410,78,R3E1N2
P026,Serveur Supermicro SuperServer,60,R6E4N2
P027,Casque Logitech H390,69,R5E3N2
P028,Casque HyperX Cloud II,80,R2E2N3
P029,Clavier Razer BlackWidow,76,R3E3N1
P030,Station de travail HP Z4 G4,43,R3E1N3
P031,Projecteur Optoma HD146X,47,R2E3N3
P032,Casque HyperX Cloud II,22,R3E3N2
P033,Mémoire Kingston 16GB DDR4,97,R3E1N3
P034,Routeur Zyxel ATP100,9,R6E4N2
P035,Clavier mécanique Logitech G Pro,64,R6E2N1
P036,Carte graphique NVIDIA Quadro P2200,7,R1E2N3
P037,"Ordinateur MacBook Pro 16""",94,R3E2N1
P038,Disque SSD Crucial MX500 500GB,97,R1E3N2
P039,Clavier Dell KB216,97,R1E2N2
P040,Ordinateur portable HP EliteBook 840,7,R5E1N1
P041,Clavier Razer BlackWidow,76,R4E3N1
P042,Disque HDD Western Digital 4TB,54,R1E1N3
P043,Carte réseau Intel I350-T4,66,R4E1N3
P044,Écran ASUS ProArt PA278QV,95,R1E1N2
P045,Écran ASUS ProArt PA278QV,89,R2E1N2
P046,Souris Razer DeathAdder V2,74,R2E1N2
P047,Imprimante Canon i-SENSYS LBP6030w,51,R5E1N1
P048,Serveur HP ProLiant DL380 Gen10,23,R2E4N3
P049,Souris Razer DeathAdder V2,67,R6E4N2
P050,Switch TP-Link JetStream T1700G-28T,99,R4E3N3
